playerID,G,AB,R,H,HR,RBI,SB,BB,SO,seasons,BA,OBP,HR_rate,K_rate,inducted
bautijo02,1798,6051,1022,1496,344,975.0,70.0,1032,1394.0,15,0.24723186250206577,0.3569109134547508,0.056850107420261115,0.23037514460419764,0
bayja01,1278,4505,737,1200,222,754.0,95.0,636,1216.0,11,0.2663706992230855,0.3571289632367244,0.04927857935627081,0.2699223085460599,0
baylodo01,2292,8198,1236,2135,338,1276.0,285.0,805,1069.0,19,0.2604293730178092,0.32655781406197937,0.04122956818736277,0.1303976579653574,0
beaumgi01,1463,5660,955,1759,39,617.0,254.0,425,314.0,12,0.3107773851590106,0.35891536565324567,0.006890459363957597,0.055477031802120144,0
beckegl01,1320,5208,685,1473,22,360.0,49.0,260,243.0,11,0.2828341013824885,0.31693489392831015,0.004224270353302612,0.04665898617511521,0
becklja01,2392,9551,1603,2938,87,1581.0,315.0,616,526.0,20,0.3076117684012145,0.3495623094324776,0.009108993822636373,0.05507276724950267,1
beckwjo02,587,2137,441,749,97,550.0,49.0,182,33.0,16,0.35049134300421153,0.40146614920224233,0.04539073467477773,0.01544220870379036,0
belanma01,2016,5784,676,1316,20,389.0,167.0,576,839.0,18,0.22752420470262794,0.29748427672955974,0.003457814661134163,0.14505532503457816,0
bellbu01,2405,8995,1151,2514,201,1106.0,55.0,836,776.0,18,0.2794886047804336,0.34075882412775915,0.022345747637576432,0.08627015008337965,0
bellco99,1237,4893,1188,1592,60,606.0,302.0,559,21.0,21,0.3253627631310035,0.39453411592076304,0.012262415695892091,0.004291845493562232,1
belleal01,1539,5853,974,1726,381,1239.0,88.0,683,961.0,12,0.29489150862805397,0.36857405140758875,0.06509482316760636,0.16418930463010423,0
bellge02,1587,6123,814,1702,265,1002.0,67.0,331,771.0,12,0.2779683161848767,0.3149984505732879,0.04327943818389678,0.1259186673199412,0
bellja01,2063,7398,1123,1963,195,860.0,91.0,853,1443.0,18,0.2653419843200865,0.3412919646103503,0.026358475263584754,0.19505271695052717,0
beltrad01,2933,11068,1524,3166,477,1707.0,121.0,848,1732.0,21,0.28604987350921574,0.3368580060422961,0.04309721720274666,0.15648717022045536,1
beltrca01,2586,9768,1582,2725,435,1587.0,312.0,1084,1795.0,20,0.27897215397215397,0.35099520825654257,0.044533169533169534,0.18376330876330876,0
benchjo01,2158,7658,1091,2048,389,1376.0,68.0,891,1278.0,17,0.2674327500652912,0.3437828985846298,0.05079655262470619,0.16688430399582135,1
bendech01,507,1147,102,243,6,116.0,20.0,75,160.0,16,0.2118570183086312,0.2602291325695581,0.0052310374891020054,0.13949433304272013,1
